question,answer,tags,priority
How do I reset my portal password?,"Use the Forgot Password link on the sign-in page, then confirm via the email OTP.","account,login",high
What is the SLA for premium customers?,Premium customers receive a 2-hour first-response SLA and 24-hour resolution commitment.,"sla,premium",high
Can I upgrade my plan mid-cycle?,"Yes, upgrades take effect immediately and the difference is prorated on your next invoice.","billing,plan",medium
How do I track my shipment?,Go to Orders > Track Shipment in the dashboard; the tracking ID syncs every 15 minutes.,"orders,tracking",medium
Where do I download invoices?,Navigate to Billing > Invoices. You can export PDF or CSV versions for each month.,"billing,invoices",low
How do I change the primary email on my account?,"Visit Settings > Profile, edit the email field, and confirm the verification email we send within 15 minutes.","account,profile",medium
Why was my payment declined?,Payments can fail due to expired cards or bank restrictions. Update your card under Billing > Payment Methods or contact your bank.,"billing,payment",high
Can I add multiple team members?,"Yes, go to Settings > Team, click Add Member, and assign roles such as Admin or Viewer.","account,team",medium
How do I export all support tickets?,Open Support > Tickets and use the Export button in the top-right to download a CSV of filtered results.,"support,tickets",medium
Does the system support SSO?,"Yes, SAML 2.0 and OAuth SSO are available on Enterprise plans. Contact support to enable it.","account,sso",high
How can I pause my subscription?,"Navigate to Billing > Plans, choose Pause Plan, and select a resume date within 90 days.","billing,plan",medium
What browsers are supported?,"We support the latest two versions of Chrome, Edge, Firefox, and Safari. Older versions may display warnings.","product,compatibility",low
How do I enable two-factor authentication?,"Under Settings > Security toggle 2FA, scan the QR code with your authenticator app, and enter the generated code.","security,2fa",high
Can I connect my Slack workspace?,"Yes, Settings > Integrations > Slack lets you authorize the bot and choose which channel receives alerts.","integrations,slack",medium
Where can I see system status updates?,"Visit status.example.com for real-time uptime, planned maintenance, and incident history.","status,uptime",low
How do I delete my account?,Submit a deletion request under Settings > Privacy. We process it within 7 days and send a confirmation email.,"account,privacy",high
What file types can I upload?,"We accept PDF, DOCX, XLSX, PNG, and JPG up to 25 MB each.","product,uploads",medium
How do I revert to a previous version of a document?,"Open the document, click History, and select Restore next to the desired timestamp.","product,history",medium
Is there an API rate limit?,"Yes, the default limit is 120 requests per minute per API key. Contact support for higher tiers.","api,rate-limit",high
Can I receive invoices via email automatically?,Enable email delivery in Billing > Preferences to receive PDF invoices at the end of each cycle.,"billing,invoices",low
How do I submit feature requests?,Use the in-app Feedback button or email product@example.com with a detailed description and impact.,"product,feedback",low
Why can't I log in with Google?,Ensure your workspace admin enabled Google Sign-In under Settings > Authentication and that your Google email matches.,"account,login",medium
How do I change my notification preferences?,"Go to Settings > Notifications and toggle the channels (email, SMS, in-app) for each alert type.","notifications,preferences",low
Can I set up automatic reminders for open tasks?,"Yes, in Tasks > Automations you can schedule reminders by due date or priority level.","tasks,automation",medium
What regions are data stored in?,Data is stored in AWS regions US-East-1 and EU-West-1 with nightly backups retained for 30 days.,"security,compliance",high
How do I whitelist your email domain?,Share support@example.com and mail.example.com with your IT team to whitelist on your email gateway.,"email,deliverability",medium
Can I integrate with Salesforce?,"Yes, enable the Salesforce connector under Integrations and map the fields you want synced.","integrations,crm",high
Where can I view usage analytics?,"Navigate to Analytics > Usage to view daily active users, feature adoption, and export charts.","analytics,usage",medium
How do I reset MFA for a user?,"Admins can go to Settings > Team, select the user, and click Reset MFA to force a new enrollment.","security,2fa",high
Can I customize the customer portal branding?,"Yes, under Settings > Branding upload your logo, select colors, and preview changes before publishing.","branding,portal",medium
How do refunds work?,Refunds can be issued within 30 days. Submit the request via Billing > Transactions and include the invoice ID.,"billing,refunds",medium
What phone number should customers call?,"Our toll-free support line is +1-800-555-0199, available 9am–9pm IST Monday through Saturday.","support,contact",low
Why is my integration showing stale data?,Most integrations sync every 15 minutes. Check Integrations > Sync Logs to see the last successful sync.,"integrations,sync",medium
Can I schedule reports to email automatically?,"Yes, in Analytics > Reports choose Schedule, set the frequency, and enter recipient emails.","analytics,reports",medium
Do you support multi-language content?,"The app supports English, Spanish, and Hindi UI strings. Knowledge base articles can be localized manually.","product,language",low
How do I manage API keys?,"Navigate to Developers > API Keys to create, revoke, or rotate keys. Each key inherits workspace permissions.","api,keys",high
What happens if I exceed storage limits?,You’ll receive alerts at 80% usage and overages will be billed per GB at month-end unless you upgrade storage.,"billing,storage",medium
How do I invite external collaborators?,Use Share > Invite External and provide their email. They receive a guest link with restricted permissions.,"account,collaboration",medium
Why did I receive a suspicious login alert?,We detected a login from an unrecognized device or location. Review the session under Settings > Security and revoke if unsure.,"security,alerts",high
How can I archive completed projects?,"Open Projects, select the project, click Archive. You can restore it anytime from the Archived tab.","projects,archive",low
Can I bulk import contacts?,"Yes, go to Contacts > Import, download the CSV template, fill it out, and upload. We validate and summarize errors.","contacts,import",medium
How do I enable dark mode?,Under Settings > Appearance toggle Dark Mode. The preference syncs across devices linked to your profile.,"product,appearance",low
Is there a mobile app?,"Yes, iOS and Android apps are available. Download from the App Store or Google Play and log in with your credentials.","mobile,apps",low
How do I escalate a support ticket?,"Inside a ticket, click Escalate and choose severity. A manager is notified within 10 minutes.","support,escalation",high
Can I automate webhooks on ticket updates?,"Yes, create webhook rules under Developers > Webhooks and select the events (created, updated, closed).","webhooks,support",medium
What is the backup policy?,Full backups run nightly with point-in-time recovery for 7 days. Disaster recovery RTO is 2 hours.,"security,backup",high
Why are email notifications delayed?,High-volume campaigns queue up. Check Email > Deliverability for queue status and throttle settings.,"email,notifications",medium
How do I view audit logs?,"Enterprise plans have Logs under Settings > Compliance where you can search by user, action, or date range.","compliance,audit",high
Can I customize ticket fields?,"Yes, go to Support > Custom Fields and add dropdowns, text, or checkbox fields. They appear in forms immediately.","support,customization",medium
How do I change the default currency?,Under Billing > Preferences select the new currency. Future invoices use the new currency; past invoices remain unchanged.,"billing,currency",medium
What training resources are available?,"Visit help.example.com/academy for on-demand videos, webinars, and certification tracks.","training,resources",low
How do I submit a GDPR request?,Use Settings > Privacy > Data Subject Request to submit access or deletion requests for EU customers.,"privacy,gdpr",high
Can I see which IPs accessed my account?,"Yes, Settings > Security > Login Activity lists IPs, browsers, and timestamps for the last 90 days.","security,logs",medium
How do I enable inventory sync for Acme Retail on the Starter plan?,"Admins at Acme Retail can go to Settings > Features, toggle inventory sync for the Starter plan, and the change rolls out to all regions within 10 minutes.","product,feature",medium
Can I schedule SLA breach emails for Beta Logistics?,"Yes, under Analytics > Reports choose SLA breach, click Schedule, and add the Beta Logistics stakeholder list. Emails follow the Growth plan cadence.","analytics,reports",low
How do I connect Zendesk for Cobalt Finance?,"Open Integrations, select Zendesk, authenticate with the Cobalt Finance admin account, and map the default objects. Initial sync runs immediately.","integrations,api",high
What happens if Delta Foods exceeds the 95% storage threshold?,We notify the Delta Foods admins when usage crosses 95%. They can archive data or purchase add-on storage from Billing > Storage.,"billing,storage",medium
How do I enable Teams notifications for Echo Airlines?,In Settings > Notifications turn on Teams for each queue serving Echo Airlines. Remind agents to verify their Teams identity.,"notifications,channel",low
How can I audit migration activity for Falcon Manufacturing?,"Visit Compliance > Audit Logs, filter by migration, and export the CSV to review every step completed for Falcon Manufacturing.","compliance,audit",high
How do I update the customer portal branding for Gemini Health?,"Navigate to Settings > Branding, upload the Gemini Health logo, adjust colors, and publish to instantly refresh the customer portal.","branding,product",medium
Can Helix Labs allow guest access during audit?,"Yes, enable Guest Links under Settings > Access, specify the audit workspace, and set an expiry for Helix Labs.","access,security",medium
How do I clone automation rules for Indigo Travel?,"Go to Automations, open the rule, click Clone, select the Indigo Travel workspace, and review the triggers before saving.","automation,tasks",low
What logs show Slack delivery for Jupiter Media?,Use Messaging > Delivery Logs to filter by Slack and the Jupiter Media account to validate each event.,"messaging,logs",medium
How do I reset API credentials for Krypton Telecom?,Administrators can regenerate keys under Developers > API Keys. Inform Krypton Telecom to rotate credentials in downstream systems.,"api,security",high
How do I route Push conversations to Tier 2 for Lumen Energy?,Create a routing rule in Support > Queues targeting Push and assign Tier 2 as the destination for Lumen Energy.,"support,routing",medium
Can I bulk import assets for Metro Realty?,"Yes, go to Assets > Import, download the template, fill it with the Metro Realty data, and upload. Validation errors will list row numbers.","assets,import",medium
How do I enforce IP restrictions for Nova Sports?,"Turn on IP Allow Lists under Security, enter the Nova Sports corporate ranges, and require re-login so the policy applies.","security,network",high
How do I create custom fields for launch at Orion Mobility?,"Open Settings > Custom Fields, add the field type, and assign it to the launch forms within the Orion Mobility workspace.","customization,workflow",low
How do I download historical billing variance for Pulse Insurance?,"In Analytics > Reports choose billing variance, set the date window, and export. The file includes every metric for Pulse Insurance.","analytics,export",low
How do I pause billing for Quantum Bank during onboarding?,"From Billing > Plans click Pause, pick onboarding as the reason, and the system will freeze charges for Quantum Bank until reactivated.","billing,plan",medium
How do I sync Google Workspace contacts for Radial Retail?,"Enable contact sync inside the Google Workspace settings, map the owner field to Radial Retail, and run a manual sync to verify records.","integrations,contacts",medium
How do I monitor uptime alerts for Solar Freight?,Subscribe Solar Freight admins to status.example.com and enable webhook alerts under Monitoring > Alerts.,"status,alerts",high
What API endpoint retrieves knowledge insights metrics for Titan Auto?,Use GET /v1/metrics/knowledge insights with the Titan Auto workspace ID and include the API key in headers.,"api,metrics",medium
How do I enable inventory sync for Unity Schools on the Starter plan?,"Admins at Unity Schools can go to Settings > Features, toggle inventory sync for the Starter plan, and the change rolls out to all regions within 10 minutes.","product,feature",medium
Can I schedule billing variance emails for Vertex Pharma?,"Yes, under Analytics > Reports choose billing variance, click Schedule, and add the Vertex Pharma stakeholder list. Emails follow the Growth plan cadence.","analytics,reports",low
How do I connect Zendesk for Willow Apparel?,"Open Integrations, select Zendesk, authenticate with the Willow Apparel admin account, and map the default objects. Initial sync runs immediately.","integrations,api",high
What happens if Xenon Mining exceeds the 99% storage threshold?,We notify the Xenon Mining admins when usage crosses 99%. They can archive data or purchase add-on storage from Billing > Storage.,"billing,storage",medium
How do I enable email notifications for Yield Ventures?,In Settings > Notifications turn on email for each queue serving Yield Ventures. Remind agents to verify their email identity.,"notifications,channel",low
How can I audit renewal activity for Zephyr Hotels?,"Visit Compliance > Audit Logs, filter by renewal, and export the CSV to review every step completed for Zephyr Hotels.","compliance,audit",high
How do I update the admin console branding for Apex Education?,"Navigate to Settings > Branding, upload the Apex Education logo, adjust colors, and publish to instantly refresh the admin console.","branding,product",medium
Can Bright Telecom allow guest access during escalation?,"Yes, enable Guest Links under Settings > Access, specify the escalation workspace, and set an expiry for Bright Telecom.","access,security",medium
How do I clone automation rules for Canyon Estates?,"Go to Automations, open the rule, click Clone, select the Canyon Estates workspace, and review the triggers before saving.","automation,tasks",low
What logs show Push delivery for Drift Mobility?,Use Messaging > Delivery Logs to filter by Push and the Drift Mobility account to validate each event.,"messaging,logs",medium
How do I reset API credentials for Everest Outdoors?,Administrators can regenerate keys under Developers > API Keys. Inform Everest Outdoors to rotate credentials in downstream systems.,"api,security",high
